feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef50_D4BLK4	Fam_hx_stone	Yes	5.22192056148545	0.0684180586112703	10	1	4.95705660302888e-06	0.00145737464129049
UniRef50_D4BLK4	sex	male	0.13579317289549	0.00701706546830594	10	1	0.000301400763200695	0.0443059121905022
UniRef50_A0A370WEI7	sex	male	-6.67814322016647	1.0153689325942	10	1	0.00715094470615228	0.504931754370906
UniRef50_A0A370WEI7	antibiotic_12m	yes	-6.0911168200056	1.48614895486195	10	1	0.0262741835805915	0.504931754370906
UniRef50_A0A370WEI7	diet_type	Low Carbohydrate	7.33468300589508	1.91443672371956	10	1	0.0313340262292161	0.504931754370906
UniRef50_A0A370WEI7	diet_type	Pescaterian	-8.96674712124674	1.49906239215305	10	1	0.00935333579511256	0.504931754370906
UniRef50_Q9BQU3	sex	male	2.43480987371742	0.905030865079698	10	2	0.0743948470548874	0.504931754370906
UniRef50_Q9BQU3	antibiotic_12m	yes	2.91324798624193	1.07512003544468	10	2	0.0731833014661666	0.504931754370906
UniRef50_Q9BQU3	Fam_hx_stone	Yes	-2.30903665469157	1.04456451954719	10	2	0.114045671769786	0.504931754370906
UniRef50_Q9BQU3	diet_type	Low Carbohydrate	-3.54412560354806	1.32636798607777	10	2	0.0755581453231661	0.504931754370906
UniRef50_E3R1Z4	diet_type	Pescaterian	5.64287718117153	2.40538181034713	10	1	0.100676603415355	0.504931754370906
UniRef50_A0A1B2YPR7	Fam_hx_stone	Yes	-7.51536786368582	2.41459420331068	10	1	0.0527796069859779	0.504931754370906
UniRef50_A0A1B2YPR7	diet_type	Low Carbohydrate	-9.23169409731551	3.12308959770944	10	1	0.0597381116053466	0.504931754370906
UniRef50_A0A1B2YPR7	diet_type	Mediterranean	-6.93319882906056	2.63288334832812	10	1	0.0781028267573132	0.504931754370906
UniRef50_A0A0R2FJ43	diet_type	Pescaterian	5.4604340227537	2.48094131450795	10	1	0.115069481438268	0.504931754370906
UniRef50_D4BML5	sex	male	-3.31971168103773	0.893946196078334	10	1	0.0339581377522624	0.504931754370906
UniRef50_D4BML5	antibiotic_12m	yes	-3.03604509649348	1.31522752125906	10	1	0.104185357497465	0.504931754370906
UniRef50_D4BML5	Fam_hx_stone	Yes	6.35575677753121	1.31017537527468	10	1	0.0167190362929212	0.504931754370906
UniRef50_D4BML5	diet_type	Pescaterian	-3.03604509649348	1.31522752125906	10	1	0.104185357497465	0.504931754370906
UniRef50_A0A1B0DEI1	sex	male	5.45470315398046	1.18394088637936	10	1	0.0192305780729197	0.504931754370906
UniRef50_A0A1B0DEI1	diet_type	Low Carbohydrate	-5.45470315398046	2.22983825649007	10	1	0.0919876193334308	0.504931754370906
UniRef50_A0A0D0TD13	sex	male	4.93132594773745	1.05246465420101	10	1	0.0183740650271117	0.504931754370906
UniRef50_A0A0D0TD13	antibiotic_12m	yes	4.83037506246333	1.5231341904804	10	1	0.0504286897077993	0.504931754370906
UniRef50_A0A0D0TD13	Fam_hx_stone	Yes	-4.76955126960158	1.5230250439279	10	1	0.0519997397640402	0.504931754370906
UniRef50_A0A0D0TD13	diet_type	Low Carbohydrate	-9.73174214214247	1.96424602942908	10	1	0.0157832316756272	0.504931754370906
UniRef50_A0A0D0TD13	diet_type	Mediterranean	-4.80041619440502	1.65848744818447	10	1	0.0627848595108265	0.504931754370906
UniRef50_A0A086ZNF4	Fam_hx_stone	Yes	4.63609500383635	1.39391490254903	10	1	0.0448543612757112	0.504931754370906
UniRef50_P35880..Transposase.for.insertion.sequence.element.IS1201	sex	male	4.02834794689713	1.15633021616966	10	1	0.0399472224869341	0.504931754370906
UniRef50_P35880..Transposase.for.insertion.sequence.element.IS1201	antibiotic_12m	yes	5.23366355334334	1.67096340491559	10	1	0.0519798528869197	0.504931754370906
UniRef50_P35880..Transposase.for.insertion.sequence.element.IS1201	Fam_hx_stone	Yes	-4.56181066668752	1.66963513280778	10	1	0.0718064369975027	0.504931754370906
UniRef50_P35880..Transposase.for.insertion.sequence.element.IS1201	diet_type	Low Carbohydrate	-8.98037907667733	2.15511728215224	10	1	0.0251514878439176	0.504931754370906
UniRef50_P35880..Transposase.for.insertion.sequence.element.IS1201	diet_type	Mediterranean	-4.9520311297802	1.81863435879901	10	1	0.0723698149094894	0.504931754370906
UniRef50_P35880..Transposase.for.insertion.sequence.element.IS1201	diet_type	Pescaterian	5.76816229448402	1.66838886994429	10	1	0.0407192171134287	0.504931754370906
UniRef50_C1CZV9	antibiotic_12m	yes	6.4728969017522	2.42741488250798	10	1	0.0759113114904719	0.504931754370906
UniRef50_A0A0M4N4C5	Fam_hx_stone	Yes	4.12759913110122	1.38522391212455	10	1	0.0586094863529354	0.504931754370906
UniRef50_D1YK59..50S.ribosomal.protein.L10	Fam_hx_stone	Yes	4.12759913110122	1.38522391212455	10	1	0.0586094863529354	0.504931754370906
UniRef50_A0A087D451	Fam_hx_stone	Yes	3.85177518867711	1.376461194768	10	1	0.0679477237724794	0.504931754370906
UniRef50_A7A546	Fam_hx_stone	Yes	3.85177518867711	1.376461194768	10	1	0.0679477237724794	0.504931754370906
